,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage
0,0.16496102223143172,0.14107331878989227,0.1410087801740223,0.14103420712556916,0.14951160332226593,0.14589639343649594,,0.15581329012557632,0.14386984305577397,0.14857387991009474,0.14774399911754643,0.14684840127501883,0.14980249114802832,0.14705881465567916,,0.14557161394088847,0.1422068662189804,0.14198411790925133,0.14164053113207295,0.14143974740622386,0,0.005
0,0.16904998185238668,0.14417378729106814,0.14409149540903357,0.1441279103900587,0.1533978118369761,0.14928226395755909,,0.1574912597238752,0.14455432434079613,0.14920863661039935,0.14967543870770608,0.14752975232240242,0.15209580372204284,0.14899077078165038,,0.14667031563336583,0.1431567608351693,0.14231645210568325,0.14204757635235193,0.14184736879666798,1,0.005
0,0.16854748380785808,0.14346552324052528,0.14339967157454164,0.14342468234023836,0.15292946825933026,0.14760579104942514,,0.157467404832688,0.14472730029356107,0.14838693562497782,0.14850125286289956,0.14788245830003074,0.15185721752146572,0.1488133410881201,,0.14659332646801637,0.1434851586304302,0.1426147005576922,0.142059924094846,0.14185973396561158,2,0.005
0,0.16890877847157112,0.14375293474790965,0.14368578172749707,0.14371085615200938,0.15309568533194629,0.14830020927089368,,0.15574573557790242,0.1443481021574856,0.14896509708452532,0.14838256551913837,0.14585255183418172,0.15042879524808941,0.14753199541744316,,0.14628384045818058,0.1446379013360598,0.14160408775830258,0.14151596102831415,0.14131500031039881,3,0.005
0,0.1677464941928206,0.1429028856731002,0.14282997479944137,0.1428604285084804,0.15227433106753938,0.14793090699947914,,0.15849689766576114,0.14590452485513808,0.15249364542626206,0.1503421245153856,0.14823527439077824,0.15213477847013518,0.1488146459228134,,0.1480165640414132,0.1433523859929551,0.14358556261755565,0.1432396067185138,0.14304106759890736,4,0.005
0,0.17266302639293837,0.14728231088022778,0.14716537793144768,0.14721524712015083,0.15721296319552922,0.15123926946436572,,0.16589712388243824,0.1486546799092022,0.1537508467964829,0.152243842397363,0.14981431535191242,0.15560232931878845,0.14986923693910903,,0.15179065959121552,0.14638376217819296,0.1436759175085637,0.14377820141522024,0.14358040705178518,0,0.01
0,0.17394787074738863,0.14731754699877148,0.14721865618994462,0.14726209905994428,0.15762251705737643,0.1519891805503897,,0.16458238865012753,0.14761848297345861,0.15465959977728513,0.15105431305736822,0.149271456754335,0.15594901488383425,0.1497940404005653,,0.15009335093023535,0.14771155076544876,0.14565536508244706,0.14374533438805,0.14354749473708345,1,0.01
0,0.16868539737206437,0.14456226294074023,0.14446883699796287,0.1445082814064859,0.15400370739668406,0.1491879005562067,,0.16747566330100178,0.14872129887290958,0.1533064756010924,0.15475445726352433,0.15028678541842969,0.15356725676802027,0.15100288133968406,,0.15267162497471898,0.14575173145934228,0.14432363991110914,0.14376951336818944,0.14357170703549738,2,0.01
0,0.17220117852829345,0.14610967389385995,0.14602903035645765,0.1460605468863478,0.15632477865509262,0.14960826970840835,,0.16767167538258784,0.14868665774129433,0.15333078777203096,0.15200431984165694,0.14960870510106336,0.15494817904629402,0.1501097488145911,,0.15249914064735598,0.14694021190332873,0.14543517762970515,0.14325804295367386,0.14305952942001926,3,0.01
0,0.17228075914431662,0.14677812233251356,0.14667581181332112,0.14671709776591824,0.15648219635204275,0.1532618316012337,,0.16498027835964993,0.14786961291320413,0.15559817778967283,0.1538787890974561,0.14986248638405575,0.15527502839353477,0.15034888474372549,,0.15167494553517327,0.1472478344277349,0.14413075684704876,0.1436774966808014,0.1434795634904929,4,0.01
0,0.19083911772085754,0.16254666184681488,0.16226515361085306,0.16240323209725288,0.17476960139230235,0.16445686342329924,,0.1876872455370225,0.1655214073441813,0.17052354262901187,0.16463229773830887,0.1621577027757512,0.17102304601517124,0.16423778825239788,,0.1980841277551847,0.16742634409437585,0.16205922344314808,0.15561635998906836,0.15524304517433685,0,0.05
0,0.20428301086615833,0.17161492387526564,0.1713024128119684,0.1714527101341531,0.1863367208892789,0.17047782441282405,,0.188492848389323,0.16712915467616238,0.1717455777398183,0.16630902372499473,0.1643770139026509,0.17549172825719267,0.166017776469709,,0.19645260958158395,0.17014723604454526,0.16810407651410972,0.15707486806002915,0.15668288402674066,1,0.05
0,0.19400290788331537,0.16434931907755795,0.16406530223159335,0.16420774891176845,0.17713985537725985,0.1663521710114059,,0.1890712810015658,0.16635195745927372,0.17192098173596496,0.1669820728280027,0.1634817776668658,0.17331498035225437,0.1653046151069757,,0.19592451366750233,0.16615380596884755,0.16305599112047806,0.15683707481570283,0.15659921860605833,2,0.05
0,0.19465471546225543,0.164809481504293,0.1645080057878071,0.1646545524110921,0.17817117661469864,0.1658136395190758,,0.18778119358313664,0.1675679026701745,0.17187207258815904,0.16610416112431106,0.1643555621067084,0.16953283832932625,0.16744028913727615,,0.19883060112091588,0.16847090468977138,0.17037508330489287,0.15786627048077045,0.15707041331562574,3,0.05
0,0.1942578157081635,0.16420277114717724,0.16390662183507704,0.16405325865177864,0.17732607932591604,0.16539131564929535,,0.1873519652971379,0.16616619673340077,0.168936614259285,0.16804919514049307,0.16317649120621333,0.1697059608121042,0.16546903249188896,,0.19538474814418427,0.16645509356848,0.1610207089851942,0.15549557793061192,0.15509898528931895,4,0.05
0,0.21093985902257179,0.1782278382802961,0.17780709649842316,0.17801903204938807,0.19358570612975828,0.17814477238862425,,0.19263387208082455,0.17778192357004213,0.1832239488767045,0.17029140631971662,0.1743739553743811,0.18363702792621917,0.1827000259438898,,0.2440774637486215,0.18717318593093413,0.17909350500892904,0.16921861904456054,0.16583141102503354,0,0.1
0,0.2157520605025175,0.182734272912717,0.18234901686366667,0.18253716872309014,0.19856701557920725,0.18211036440903317,,0.19179282175938772,0.1771544907429598,0.18407275286846586,0.1710096026957761,0.17460382326763824,0.18425019211634183,0.18300070079501324,,0.24510038145738458,0.188081893221751,0.180017347777669,0.16919319050655607,0.16681884727986282,1,0.1
0,0.21569410552312654,0.17981490383901244,0.17939258016845264,0.17959901792141253,0.19681425455115453,0.17918834386970814,,0.1915614709679397,0.17591993717078447,0.18203931258615,0.17092930304621218,0.175416878044616,0.1836773941522777,0.1814054158024715,,0.24369179248763656,0.1855547778931201,0.18160588154353724,0.16892034946386691,0.1667974118659584,2,0.1
0,0.21374184808834784,0.17977303957176238,0.17938035368321334,0.17957428855358273,0.1954017110684488,0.18079263838152188,,0.19320969757300768,0.18215828009424126,0.1870020060778306,0.17198262166306666,0.17725037418046205,0.1841244663244618,0.1858045156745962,,0.24810840172993218,0.18645889148641043,0.17876599979637905,0.1714108060125105,0.17032540837276913,3,0.1
0,0.2053981509735144,0.17459486368307214,0.17418780509396628,0.1743933575400667,0.18851414652879905,0.1749171062681003,,0.19239712745404958,0.18004107974360364,0.18440355075242643,0.17080996238653492,0.17548249873119123,0.18523792727047697,0.18337065158285204,,0.2457438113896752,0.18979868082570964,0.18435240005962367,0.17117551576530832,0.16858979411362557,4,0.1
