,Pers,LS,Lasso,Ridge,LAD,NN,FA-greedy-LAD,FA-fixed-LS,FA-lin-fixed-LS,FA-greedy-LS,FA-fixed-NN,FA-lin-fixed-NN,FA-greedy-NN,FA-lin-greedy-NN,v2FA-lin-fixed-NN,FA-lin-greedy-LS-1,FA-lin-greedy-LS-2,FA-lin-greedy-LS-5,FA-lin-greedy-LS-10,FA-lin-greedy-LS-20,iteration,percentage,v3FA-lin-fixed-NN
0,0.0969703493681169,0.0844350499602297,0.0844199861856422,0.0847093978222388,0.0800273368670595,0.0769485339690046,,0.0942359467023961,0.0851418704175566,0.0933458909269363,0.082812936339708,0.0810010652981258,0.0798793772808825,0.0792749431975303,0.0815436813302367,0.0918868934684202,0.0855719009954881,0.0848817587924234,0.0848817587924234,0.0839711272375647,0,0.005,0.07949559475033158
0,0.0971675457791723,0.0845683264535072,0.0845204764136121,0.084778979654283,0.0800062797589332,0.076942087529919,,0.0948243653952794,0.0855615356123732,0.0928947678593553,0.0828760031532781,0.0811114108964185,0.078906729051838,0.0793533651956064,0.0817354543862154,0.091937239406562,0.0855417000041183,0.0851545096285484,0.0851545096285484,0.0837075812850117,1,0.005,0.07819371567583627
0,0.0966045569629245,0.0837237538871199,0.0837148037018432,0.0839574033021901,0.0790826497785219,0.0767394464317414,,0.092386304595628,0.085089763956407,0.0925015278312131,0.0816900781876691,0.0810018004916801,0.0794453540033645,0.0782247654562546,0.080469790796058,0.0920720385927657,0.0855529499453414,0.0845465765903361,0.0845465765903361,0.0838225035391665,2,0.005,0.07820479538292593
0,0.0969623609619167,0.0841891816168505,0.0841439819657569,0.0844261829050185,0.0799035827998379,0.0769172152011628,,0.0952520255646987,0.0854001029389652,0.0943070667325147,0.0834295834301512,0.0807545413177142,0.0803653953098405,0.0794041956651513,0.0830504917556815,0.0916613742493601,0.0854140153848498,0.0848442879515068,0.0848442879515068,0.0839621441259511,3,0.005,0.07875475330872779
0,0.0976452478267465,0.0851538261993305,0.0851578723571252,0.0854043771596495,0.0806474393368882,0.0779473447736614,,0.0934470379503615,0.0864298470596192,0.0924148254944301,0.0812271094981809,0.0810204355145278,0.078276072973928,0.0779772755243999,0.0804877328444665,0.0925754040884897,0.0864087409946711,0.0854527377903915,0.0854527377903915,0.083931484945212,4,0.005,0.07891181190396161
0,0.1018134735447525,0.0865101753201557,0.0863722799718003,0.0865932926233044,0.0826539231692942,0.0794045439027789,,0.1011951551255347,0.0886474312286081,0.0995318088927867,0.0863759145653435,0.0856703905064121,0.0820462874204645,0.0800283894414988,0.0862080968848846,0.0983913804031034,0.0889833113703597,0.086738779218981,0.0867207428116267,0.0855534006340626,0,0.01,0.08180652598179532
0,0.0983898976021283,0.0859612395986188,0.085826442929258,0.0859922375769365,0.0816954104302726,0.0785179195698256,,0.1004420286932719,0.0878247159303957,0.0993288680659344,0.0854864324331754,0.0854077576683108,0.082690463815404,0.0814717425707108,0.084636174753055,0.0997611766982596,0.0888182737987207,0.0865904012617982,0.0865904012617982,0.0853977393347974,1,0.01,0.08249103385245017
0,0.1002121415605477,0.087238153256879,0.0871108713919562,0.0872588777957442,0.0832754725014607,0.0808475397527763,,0.1025741387135536,0.0886151133008148,0.0999118844993277,0.0873792216209679,0.0853419595514663,0.0822867426028741,0.0810187613040319,0.0872679692962452,0.0990567288465384,0.0882920558910761,0.0865609743147289,0.086563420559781,0.0846797359615635,2,0.01,0.08163730554595407
0,0.1044394324795169,0.0880246591170343,0.087899932841557,0.0881019079202639,0.0845793726598405,0.0807731127662507,,0.1032790470349238,0.0886060367234352,0.0994015886787092,0.0870274343740205,0.0857202814685444,0.0829979138950313,0.0809096398606817,0.0875822825249313,0.0994137511666021,0.0889361534226913,0.0866425084961267,0.0866425084961267,0.0855797609898881,3,0.01,0.08248031646259907
0,0.0996132500784394,0.0858079320088874,0.0857480610489996,0.0859663312853471,0.0814106458821809,0.0775354722650978,,0.1016895593720563,0.0878811584890568,0.0986260291667969,0.0865662736110102,0.0846294364240444,0.0826700626329747,0.0803809124379832,0.0863906878157022,0.0988977052091521,0.0891845260628646,0.0870021219660275,0.0870021219660275,0.0851305266535279,4,0.01,0.08229284888965663
