,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-10,FA-LEARN-LDR-NN-10,FA-LEARN-LR-10,FA-LEARN-NN-10,iteration,percentage
0,0.20745149520421927,0.15161463665071417,0.15168541750506523,0.1517901072543663,0.14219629474749515,0.11422170257425299,0.15602458603336838,0.15462809073300163,0.1143611760767896,0.11592311445938708,0.15182792080547092,0.11385616077181512,0.15516535581611868,0.11220730493824925,0,0.005
0,0.20669533890751784,0.15168242492751174,0.15174473462016963,0.1518537658739516,0.1423859988668571,0.11328834889036303,0.1574903034490558,0.15435902499083615,0.11383631221583376,0.1163383049845955,0.1522136598008456,0.11277676357047274,0.15407752335822866,0.11179529152101478,1,0.005
0,0.2077227792449461,0.1521915451701873,0.1522476519747482,0.1523560924333794,0.14290358560483676,0.11510859668038521,0.15630397184988568,0.15535307597053596,0.11422463523916382,0.11454434795120294,0.1528931265094453,0.11375530928126007,0.15492002395594523,0.11279222894073322,2,0.005
0,0.20741054839124265,0.15174335537909883,0.15179611468255022,0.1519023538003287,0.1424073431478744,0.11349370195069183,0.15775023404482585,0.15500402967671553,0.11428096216763432,0.11727403496061978,0.152846774925412,0.11262972277548931,0.15484612502003567,0.11215777825693182,3,0.005
0,0.2072087671427128,0.15160747679199876,0.15164688038105864,0.15174973001930286,0.14238242579118698,0.11347493910706352,0.15735484047712137,0.1550586264298797,0.11364654167924344,0.11573067286692221,0.15250495230666933,0.1136300897280659,0.15479350174199683,0.11242682322779939,4,0.005
0,0.2073042479164293,0.15180528725183326,0.1518405487006355,0.15190874323778764,0.14262128564399318,0.11490977711264742,0.15847707552170687,0.15723385267079976,0.11494608008214129,0.11813437923563862,0.15205328745372618,0.11352170881322106,0.1562487769787945,0.11287279225847345,0,0.01
0,0.2105094678208558,0.15240685835335951,0.15243049584501206,0.15252564049635162,0.1430782779199434,0.11576355809042327,0.1597617138899698,0.15750632795080308,0.11554984064012519,0.11915250127931673,0.15223147752487168,0.1136190791406199,0.1569263490784916,0.11337997142748309,1,0.01
0,0.20924743657241893,0.15238369246571376,0.1523563989330927,0.15245906950199897,0.14317483978902645,0.1155776436894451,0.15879360883211718,0.15703000619216867,0.11480037470791525,0.11732680687934396,0.1527812868353882,0.11332462926514361,0.15659524493606344,0.11348598614217167,2,0.01
0,0.20887337713743054,0.15263622130240784,0.1526325019265992,0.15270916305985632,0.14348687123756598,0.11530857591289992,0.15944664564476596,0.15621406310648847,0.11493613227654446,0.11733239061155609,0.1530120307697385,0.11344769589180809,0.15718637909681002,0.11346728633313588,3,0.01
0,0.2084446822640836,0.15214815948291016,0.15215420986526088,0.15224068220797735,0.14284393928017866,0.11483919724285224,0.15975468865246986,0.15701264272063437,0.11489549676947812,0.118846338565128,0.15295287934715573,0.1132359724140432,0.15672294578168594,0.11378927743558363,4,0.01
0,0.22103513969451852,0.15639589495054784,0.15621468932484855,0.15617490562498929,0.14846833831254794,0.12056401534051599,0.16013421810674489,0.1651309347162948,0.1160837974335469,0.12201071275077405,0.15526967623248206,0.1155029942181764,0.1625769987543521,0.11719249050660507,0,0.05
0,0.22000360718393774,0.1556291005406788,0.15540121688271485,0.15538766962121828,0.14706849662478852,0.11956729361832931,0.16033648830742675,0.1627197886050443,0.11625155794795816,0.12205590771569205,0.1542764637514722,0.11524035317935424,0.1612408870327286,0.1155739424861642,1,0.05
0,0.21657221498536255,0.15435687719861627,0.1541751811488826,0.15416443968544846,0.14588547552976802,0.12042139923202962,0.1608330090348213,0.1623994364948634,0.11658988014080958,0.12306293389462998,0.15414581057302298,0.11556383381659749,0.16183802035900724,0.11647816205428757,2,0.05
0,0.2170449496481323,0.15552805471403564,0.15536298679046426,0.15533270489468004,0.14722827859066437,0.12096972242842904,0.1615427219114925,0.16376712754489192,0.11665823840732496,0.12337030016887657,0.15431771272239514,0.11496980737396519,0.16185880371973582,0.11648252796618981,3,0.05
0,0.22061245376365865,0.15537957334489355,0.1551130295987439,0.15507048505390744,0.1471315895080563,0.11934297862236783,0.16088769499248665,0.16366042762323327,0.11647234489802341,0.12172226939402297,0.15464655900858518,0.1153423805017019,0.16078459652929866,0.11607792928994257,4,0.05
0,0.22453930739247255,0.15734901350640462,0.15704070527350952,0.15695549235728873,0.14921452589680292,0.12398926737662173,0.16109461477200165,0.16416482693917042,0.11728619089236539,0.12361463941890696,0.1564859673671179,0.11737019846061401,0.1638938835697218,0.11787588993409726,0,0.1
0,0.2275405538204334,0.15739474156797123,0.15705005801376168,0.15693622737080912,0.15000411817613604,0.12357610402732526,0.16126861788800492,0.16420152175260558,0.11775235952966011,0.12214596025125396,0.15619956328323242,0.11728247920129199,0.16467024664680277,0.11793773544180428,1,0.1
0,0.2257440779976774,0.15726092377231304,0.15691268302851116,0.15680656108312155,0.14961647730675393,0.12266347054213943,0.16080621179777468,0.16417882080585575,0.116941119093068,0.12212845855167773,0.1562115210029246,0.11665646125796122,0.16424056213097304,0.11707765653534866,2,0.1
0,0.22470187084181475,0.15779583286128077,0.1574569271628414,0.157342093653437,0.14989597909437105,0.12343933713849345,0.1593716045477768,0.16419357740008156,0.11557910294534182,0.1210796753529544,0.15555457725458743,0.11619891901366734,0.16308947161399162,0.1169791540745715,3,0.1
0,0.22393813845426613,0.15844912665905245,0.15807661935710154,0.15793985152818438,0.15124682268264142,0.12397312904346657,0.16098940658250563,0.16475413285287938,0.11789700028230603,0.12335312940969881,0.15636658947599977,0.11750573485968585,0.1635844678392003,0.11706446857172907,4,0.1
