,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-10,FA-LEARN-LDR-LR-1,FA-LEARN-LDR-LR-2,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-LR-20,FA-LEARN-LDR-NN-10,FA-LEARN-LDR-NN-1,FA-LEARN-LDR-NN-2,FA-LEARN-LDR-NN-5,FA-LEARN-LDR-NN-20,FA-LEARN-LR-10,FA-LEARN-LR-1,FA-LEARN-LR-2,FA-LEARN-LR-5,FA-LEARN-LR-20,FA-LEARN-NN-10,FA-LEARN-NN-1,iteration,percentage
0,0.24275753789279567,0.16930057708351753,0.16969832839881863,0.16931903981437513,0.17519630597880353,0.15052082720658586,0.18116678644718354,0.17257209874437146,0.15316194237056932,0.15393172372198424,0.1707121108230294,0.1707121108230294,0.1707121108230294,0.1707121108230294,0.1707121108230294,0.150264153959213,0.15274630422273566,0.15086830475620974,0.15031228707820482,0.15204219834920887,0.17381708565196488,0.17381708565196488,0.17381708565196488,0.17381708565196488,0.17381708565196488,0.15071857109146375,0.15209589792318073,0,0.005
0,0.24147016981265698,0.1682566649580009,0.16867559405783109,0.16828781970786477,0.17430264131780568,0.14896412198237657,0.17736440968652104,0.17175586043886112,0.15177994283578194,0.15185694496732594,0.17028044413246954,0.17028044413246954,0.17028044413246954,0.17028044413246954,0.17028044413246954,0.15002509927332383,0.15211036563751618,0.15059217427002808,0.14993701267139353,0.15162371949123427,0.17428377779145596,0.17428377779145596,0.17428377779145596,0.17428377779145596,0.17428377779145596,0.15057736181707632,0.15124045071329217,1,0.005
0,0.24206218705799756,0.16835288680106317,0.16875156427892632,0.16836310774116764,0.1742811829628674,0.14917913546319872,0.17651719567625565,0.17107569363291453,0.14975552881235438,0.15315037925687122,0.1704107797374878,0.1704107797374878,0.1704107797374878,0.1704107797374878,0.1704107797374878,0.15040867645609576,0.1523194784749528,0.15044025640899708,0.15069245784421093,0.1521794825789309,0.17302705484728334,0.17302705484728334,0.17302705484728334,0.17302705484728334,0.17302705484728334,0.15052796499256949,0.1514035541711728,2,0.005
0,0.2421424777376163,0.16828330867131816,0.16876653146395276,0.16833341473987884,0.1745637630165892,0.14959169669891936,0.1783131190987151,0.17236480635170603,0.1519595731854077,0.1541051745983298,0.1708787234636072,0.1708787234636072,0.1708787234636072,0.1708787234636072,0.1708787234636072,0.1499547737722945,0.15124600519233883,0.15130626036122016,0.15017284797644143,0.15187637877464233,0.17493838631311295,0.17493838631311295,0.17493838631311295,0.17493838631311295,0.17493838631311295,0.15096597312238916,0.15164712033672847,3,0.005
0,0.24196700509775462,0.16921469411907925,0.16958503027935298,0.16922389337440863,0.17517202978379812,0.1496030889304837,0.17816870241623828,0.1718092741204735,0.15356238878001685,0.1537893413274039,0.17005190617268093,0.17005190617268093,0.17005190617268093,0.17005190617268093,0.17005190617268093,0.15035367587335863,0.15212635785557757,0.1506594016498373,0.15032844031788878,0.1518711812562021,0.17288887739163944,0.17288887739163944,0.17288887739163944,0.17288887739163944,0.17288887739163944,0.15000257775368653,0.15130019912444434,4,0.005
0,0.2453450453628747,0.16995025703960207,0.17025940007309004,0.1698242594603139,0.17609424319065972,0.1503784335370405,0.18714029007856267,0.17351335004074805,0.15631266144041922,0.15567761207504704,0.1714058120653428,0.1714058120653428,0.1714058120653428,0.1714058120653428,0.1714058120653428,0.14976343152416138,0.15130454926683756,0.15061593028598194,0.14954313932096197,0.15225446893561662,0.17618230439319135,0.17618230439319135,0.17618230439319135,0.17618230439319135,0.17618230439319135,0.15204475122106423,0.15239109758388342,0,0.01
0,0.2482422311189652,0.1703936456424223,0.17058915073395772,0.17024647315438546,0.17649114329863527,0.15108784455844357,0.18540509422155602,0.17431718417833061,0.1552570499555536,0.15691868553152633,0.17206782671162377,0.17206782671162377,0.17206782671162377,0.17206782671162377,0.17206782671162377,0.1513251574521953,0.15271048603798987,0.15107826488394807,0.15054201862509478,0.15291764893551993,0.17686742746490317,0.17686742746490317,0.17686742746490317,0.17686742746490317,0.17686742746490317,0.1521082822638876,0.15322303195629444,1,0.01
0,0.2450207380010819,0.1698487119521375,0.1700567204433787,0.16970436788509285,0.17568612111669218,0.1499253648220562,0.18509065778726896,0.17482014801094956,0.15381320007979538,0.1540876285839367,0.1710935923048524,0.1710935923048524,0.1710935923048524,0.1710935923048524,0.1710935923048524,0.15000000675007105,0.1513947829557148,0.14937746618921094,0.15019263782139028,0.15202317090073497,0.17593993164418636,0.17593993164418636,0.17593993164418636,0.17593993164418636,0.17593993164418636,0.15134650465540297,0.15113537389272363,2,0.01
0,0.24608699293981212,0.16996881597609878,0.17024458798269565,0.16988100754676583,0.1761981452994611,0.1524338366159426,0.1858313235500113,0.1759599167685172,0.1551836895664739,0.155924865445481,0.17158274785087518,0.17158274785087518,0.17158274785087518,0.17158274785087518,0.17158274785087518,0.1500897407218351,0.15205024713496385,0.15073577252759907,0.1509635239756104,0.15212081694040921,0.17683662221779003,0.17683662221779003,0.17683662221779003,0.17683662221779003,0.17683662221779003,0.15216002751954258,0.15224985561615498,3,0.01
0,0.2474081899105814,0.16954431421386507,0.1697294534368516,0.1694069892551835,0.17558856362350933,0.1514823859106532,0.1868178696292182,0.17410017203851963,0.15663298281433422,0.15804553326796839,0.17211681896945902,0.17211681896945902,0.17211681896945902,0.17211681896945902,0.17211681896945902,0.15078003416650532,0.15180994927378286,0.15079564869653383,0.1503491561671203,0.15255235312450538,0.1759134615131458,0.1759134615131458,0.1759134615131458,0.1759134615131458,0.1759134615131458,0.15195883729319304,0.1526568044218234,4,0.01
