,Number missing,Pers,LR,Lasso,Ridge,LAD,NN,FA-FIXED-LR,FA-FIXED-LDR-LR,FA-FIXED-NN,FA-FIXED-LDR-NN,FA-LEARN-LDR-LR-10,FA-LEARN-LDR-LR-1,FA-LEARN-LDR-LR-2,FA-LEARN-LDR-LR-5,FA-LEARN-LDR-LR-20,FA-LEARN-LDR-NN-10,FA-LEARN-LDR-NN-1,FA-LEARN-LDR-NN-2,FA-LEARN-LDR-NN-5,FA-LEARN-LDR-NN-20,FA-LEARN-LR-10,FA-LEARN-LR-1,FA-LEARN-LR-2,FA-LEARN-LR-5,FA-LEARN-LR-20,FA-LEARN-NN-10,FA-LEARN-NN-1,FA-LEARN-NN-2,FA-LEARN-NN-5,FA-LEARN-NN-20,Count
3,3,0.27193515732139584,0.176635002669387,0.17672824807894294,0.17632503734917176,0.18170993293638918,0.1501839429526753,0.1902608769687258,0.1862128133440495,0.1568453998586418,0.15950791603117928,0.17714166195125267,0.17499192784654663,0.17782485352604224,0.17657411596517245,0.17684026036637654,0.15714436554323166,0.15986617969377911,0.15697128794449647,0.15941545319476674,0.15635776941554996,0.18680811612524384,0.18680811612524384,0.18680811612524384,0.18680811612524384,0.18680811612524384,0.15912564283489491,0.15609124613640948,0.16306015442415034,0.15913809741529059,0.15748411294171166,651
4,4,0.36138246831585874,0.22182076471152615,0.22122946546765376,0.22077630504304951,0.2422246582196389,0.21008601711016764,0.23334332704702684,0.2564717548899801,0.1993986577401471,0.1712489430167258,0.20258536220535758,0.200193409327558,0.19162281655124164,0.20329640744105484,0.20023636762706307,0.18916795885726634,0.18564171893214673,0.1778176137198831,0.18714251759834433,0.1922331290482561,0.21278973698137799,0.21278973698137799,0.21278973698137799,0.21278973698137799,0.21278973698137799,0.1817901986302441,0.18506151122303474,0.18233960186948336,0.1837215677954077,0.18010564657025882,50
5,5,0.437261390248382,0.2628511158258779,0.25886394131616736,0.26068680923480736,0.286553396552557,0.18561535064709536,0.2619777092876956,0.3251063765645972,0.23665898515769238,0.20348675514667008,0.21324587817623017,0.20910793626839835,0.18287457687002373,0.21737801983756552,0.21324587817623017,0.20439195701740182,0.18337518725188684,0.17839038670312063,0.188745845123982,0.20066944384148336,0.22647891179632795,0.22647891179632795,0.22647891179632795,0.22647891179632795,0.22647891179632795,0.1866526505097917,0.185455399953223,0.1752522512130579,0.18736207971315924,0.18256681536348437,2
0,0,0.24576455056163077,0.17045041387355733,0.17050336927039855,0.17019540466414476,0.1779132674290411,0.15084826627484607,0.1783891370619452,0.17840007463669186,0.15474664608512445,0.1562602820053754,0.17220752911819903,0.17065666136652535,0.17088269989173713,0.17205619116451193,0.17093747866013315,0.1512242154424069,0.1522841222200683,0.15096707644844598,0.1527570231967484,0.15043701965017703,0.17297281039666146,0.17297281039666146,0.17297281039666146,0.17297281039666146,0.17297281039666146,0.15338903772402485,0.15117319997979306,0.15774918893895767,0.15256568399939865,0.15241659794828022,9475
1,1,0.2421938395061339,0.1699861121694466,0.1699621449610494,0.16964969020371354,0.17626914283562967,0.1511582212106053,0.17899078348894246,0.17646513593907423,0.15332674733216503,0.1550774179198225,0.17062821432933906,0.16930602180089854,0.1694098812508937,0.1705518368708871,0.16996056385646086,0.15008096494015294,0.1503336308299987,0.14924630254464755,0.15119122497897525,0.14986873120241462,0.17338200582529784,0.17338200582529784,0.17338200582529784,0.17338200582529784,0.17338200582529784,0.15187594667174045,0.15008674640780745,0.1570692200424114,0.1504826964440916,0.150777616293758,7723
2,2,0.23527036239678145,0.16929815017672592,0.17000043812010954,0.1694510683788385,0.1723533808726945,0.153178554670593,0.18028080958852266,0.17695536711803078,0.15634090868657655,0.16096735174173027,0.16996432267676442,0.1699451860919938,0.16907067374225682,0.16998278777666134,0.16905147250623404,0.15552542003905204,0.15433527623349452,0.15553014233261422,0.15688787751063576,0.1534571318922126,0.17552359896964054,0.17552359896964054,0.17552359896964054,0.17552359896964054,0.17552359896964054,0.1556954413893696,0.15566991527046434,0.1628772375261762,0.15524867646196974,0.1569447465909365,2764
3,3,0.20652382504679045,0.16754937501837963,0.16930980517961686,0.1682155007499712,0.1637350689266172,0.1475976203919726,0.1812099633923799,0.17845828710217604,0.15675029438246357,0.1656413262803766,0.17149352385530436,0.17263408026064062,0.16892263485206088,0.17123018503833343,0.1712201913641256,0.15522707314721493,0.15788642684950385,0.15981347709597574,0.15884746671326064,0.15893285775665245,0.17386898814831211,0.17386898814831211,0.17386898814831211,0.17386898814831211,0.17386898814831211,0.15695207013104565,0.16009996997593176,0.1660263397009008,0.15648424539309522,0.1607794654660846,487
4,4,0.30805668025679983,0.22807767658614264,0.22831179433234244,0.22781245286360483,0.21102191058811048,0.2058149311006127,0.25222345170130683,0.2401228130384064,0.24717787690983295,0.22628191495775385,0.2356059157860799,0.23434649931322976,0.22389814901501115,0.23335819345939307,0.23109788668041467,0.2368605965712344,0.2310713973974324,0.2230613803271114,0.23006952025750868,0.23639494195294317,0.2143026188661137,0.2143026188661137,0.2143026188661137,0.2143026188661137,0.2143026188661137,0.23786452977684663,0.23262324661401276,0.22588188286478877,0.2378540786978544,0.2190937263926747,65
5,5,0.27405152958656814,0.22580080850862588,0.2239500030266853,0.2251604023620061,0.2463870093016644,0.188919897839036,0.21111069470199595,0.22079145426574998,0.2079211763941719,0.22082968382774465,0.2441150343958838,0.21297771628218243,0.22232776849297042,0.23723852583177663,0.23777300073460178,0.17197027500953305,0.20267281938862716,0.22907864412479345,0.20135001374877937,0.18352058786352252,0.2413504257987269,0.2413504257987269,0.2413504257987269,0.2413504257987269,0.2413504257987269,0.1935697566015278,0.21181851479584596,0.23254047706206335,0.20342129177344168,0.1951463067886726,9
0,0,0.23553890563066932,0.16716913663457963,0.16743024740660303,0.16701686721637937,0.17182276656910245,0.14869610179247947,0.1750302152533809,0.1748349041308425,0.1530255274993047,0.15530185138348415,0.16865882207522562,0.1679631860364401,0.16718195854485432,0.1683221314237625,0.16804315256659708,0.14924412500592393,0.1497711388469695,0.1494984224204271,0.15071806013460232,0.14816224715277035,0.17105434826930593,0.17105434826930593,0.17105434826930593,0.17105434826930593,0.17105434826930593,0.15073242259863226,0.1489145620634357,0.15616067701909747,0.14991602819217187,0.1496598364347934,9723
